user_id,stars,categories,date
PUFPaY9KxDAcGqfsorJp3Q,good,American,2012-08-01
Iu6AxdBYGR4A0wspR9BYHA,good,American,2014-02-13
auESFwWvW42h6alXgFxAXQ,good,American,2015-10-31
qiczib2fO_1VBG8IoCGvVg,good,American,2015-12-26
qEE5EvV-f-s7yHC0Z4ydJQ,bad,American,2016-04-08
jBoH6qKGO7wdYyg_YjBcQA,bad,American,2016-04-10
bWrodc7hN_T4q2r-rolrOA,good,American,2016-05-11
LWbYpcangjBMm4KPxZGOKg,good,American,2012-12-01
m1FpV3EAeggaAdfPx0hBRQ,good,American,2013-03-15
8fApIAMHn2MZJFUiCQto5Q,good,American,2013-03-30
uK8tzraOp4M5u3uYrqIBXg,good,American,2013-10-20
6wvlM5L4_EroGXbnb_92xQ,good,American,2013-11-07
345nDw0oC-jOcglqxmzweQ,good,American,2014-03-22
u9ULAsnYTdYH65Haj5LMSw,good,American,2014-09-29
pdHC0oAcG7gNdhuFRAUu0Q,good,American,2014-09-29
tAKjY3bQXH51msJbOHYPmQ,good,American,2014-11-03
Kq8-FUG7d_MT2qRNiNBJnA,good,American,2014-12-18
a0ULPTNi05w-BNVovVUz2w,good,American,2015-03-06
-ke0O45_B6STtEqd5s_ANw,good,American,2015-03-08
FoFdGS2TjVUUXptBS_gdNQ,good,American,2015-03-16
XN5PALUxEOxgUrhaXXAJzA,good,American,2015-05-27
E5O8wsWiGLqoOVBmG84wcw,good,American,2015-07-02
k0a-uii8yr__Rl-9ipl_RA,good,American,2015-11-06
LQUy7D5Bzb2WutEXhVg2Tw,good,American,2015-12-04
rtKuu--pSi1fkUekrVSVAg,good,American,2015-12-15
qiczib2fO_1VBG8IoCGvVg,good,American,2015-12-16
fRMPvlxxMaEAHrQu5fP2cw,good,American,2016-01-21
5OumCBQ_MyQsltSdbMyunA,good,American,2016-02-22
09jLk1V4_0Cg9FJc97luHQ,good,American,2016-03-13
hAT1Y7gf71TPJ6S-hRTO8Q,good,American,2016-04-07
j9wgdbO7uToEr7Yb4MwnOw,good,American,2016-05-08
j9wgdbO7uToEr7Yb4MwnOw,good,American,2016-07-08
ay9H1RpjbBkaiXGxfh7LaA,good,American,2010-10-11
JbWnXwjLaO1kncUkQOMajg,good,American,2011-02-27
4-3IU5uUH90m21TWbZhhnA,good,American,2011-08-15
bcwr1bFov3PSa1FiGfpc9g,good,American,2011-12-22
Sjb5e5-gKoLXueFDMc2R8Q,good,American,2013-04-25
tnArVArlj5usJLZbq9ydbQ,good,American,2013-04-29
W_NfPGdpM0286WBDNSvY5g,good,American,2013-09-17
h-A_xNeB_xSbc0psqHyoJg,good,American,2014-02-16
GcBAIs4pzeK6OzHpawgZlg,bad,American,2014-03-13
udy8pMNA09YDs98e51wXZQ,good,American,2014-08-08
4DsJFa1QMd3NrIcxz0xNHw,good,American,2015-01-30
t6OkrXgpcAZfJa2om9QO4A,good,American,2015-07-02
QawZN4PSW7ng_9SP7pjsVQ,good,American,2015-07-15
NCauclFtEoBCroQvdwYz4g,good,American,2015-08-16
NaTnrURv9lKSk53FjGS7Cg,good,American,2015-11-11
2rSeth60_CuWN3ZJ4k41lg,good,American,2016-01-14
iFrkTlJfoLvJucPkq9y8UA,good,American,2016-02-16
8K8qHAH9AREKxIIZAwQ9Fg,good,American,2016-02-18
S20zRS16LfpNfiZTNVjpNA,good,American,2016-06-05
T_wjLgPOPXry7Bea4MzoVQ,good,Breakfast & Brunch,2009-12-10
LaPatM6c289ClpysmzZpdQ,good,Breakfast & Brunch,2010-01-03
vGI3dbg5zFRXBg4eVVmGSg,good,Breakfast & Brunch,2010-11-06
9MmWbiE7txW_OplDAnoaqA,bad,Breakfast & Brunch,2011-11-21
q7MrNVt1FE23rwtWmPYWHg,good,Breakfast & Brunch,2012-05-30
7KoVg5QMjYu8taLFSE7hNA,good,Breakfast & Brunch,2014-09-18
Nhvkukz5MECqEUQVfh6A6w,good,Breakfast & Brunch,2015-01-26
284ZoU1QyY1y-_j0YYJH3g,good,Breakfast & Brunch,2016-04-28
tAKjY3bQXH51msJbOHYPmQ,bad,American,2013-09-01
xeh9C_a-R5CHmYmq1GaguQ,bad,American,2014-03-15
aOHQ9MlorpvL71Y6qC9v2A,good,American,2014-03-21
gi_1bkKWbipVsGigjPKs0Q,good,American,2014-06-08
c67-0jrGj8tcW7M7TzqsqQ,good,American,2014-07-24
L_aMQmKqw5TTcWRYGI2CAQ,good,American,2015-01-06
bWaJUPa1E1yzJnNAgCEfog,good,American,2015-03-06
_wbuJtXPZGT6U1Qg5hV4VQ,good,American,2015-12-19
K_V40mv1gfOzaDbA1mgXBw,good,American,2016-02-13
vKLJFXIHV7CTMGP-Y5ifSg,good,American,2016-02-27
PrMlXX6fbMsJie9ausN41g,good,American,2007-03-31
FNbm3ycU2BF8C17UFfWzOg,good,American,2007-08-02
EtSjuNdguCE9AcmCOVYqxw,good,American,2008-04-12
l-KVyeKBFWpAttOKBcM07A,good,American,2008-12-03
gl46Pxc4OzLai8JVyxUIwA,good,American,2009-04-07
tgKy3r3vI7xMO8ZPh86M3Q,good,American,2009-08-20
Yv0JrZLmUWBmsWwaxuRQtg,good,American,2010-03-07
ei4yFnLZMJkxm49KC5Jtww,good,American,2010-06-28
9cCTmiJ7hz35rHIdr8n9kA,good,American,2011-01-05
wObdaxA0z-qaU2GzsfCVMQ,good,American,2011-02-06
ob2NmltzrzoNBRDfJqitlg,good,American,2011-02-06
bcwr1bFov3PSa1FiGfpc9g,good,American,2011-07-05
AY-W59xCVPDaCaOKJOQUhw,good,American,2011-11-15
q7MrNVt1FE23rwtWmPYWHg,good,American,2011-12-05
gcjQt9J7TdnMhZGwDHuXcA,good,American,2012-02-12
irPsx5KWCwVX44AlSltXXA,good,American,2012-02-19
1giup8Tfm44sYcFoN3PmwQ,good,American,2012-04-05
9Ify25DK87s5_u2EhK0_Rg,good,American,2012-04-07
GwcBPWbgjegIxXViOdSuVg,good,American,2012-06-25
Nhvkukz5MECqEUQVfh6A6w,good,American,2012-07-15
fFXsUH9uLapH_BopOIBKHA,good,American,2012-07-29
t9CzImjIZdk_87FLQHNHQA,good,American,2012-08-01
1VMTfE5MlQyDIRGWDSNsvA,good,American,2013-02-21
rGuk1S7MIU8M9ZE2mulVsg,good,American,2013-03-16
ElHMvz-1_xfOl_noq_2Utg,good,American,2013-04-08
GYSqprhDteK52ILOBaFCIQ,good,American,2013-04-13
Dg9xy4ZbsteCBUL_sjaNKA,good,American,2013-09-25
PShxCNSE1_YmNDJOFzyTRA,good,American,2013-10-06
HzB5eZLSabmOUDc3ItgIcQ,good,American,2013-10-12
f6sXlAT1R6F5NMIAeUHpXQ,good,American,2013-10-31
JAe6HSt7J4OtkcFWYJNURA,good,American,2014-05-04
CiCmxCruMvbXtjQP5FhbLg,good,American,2014-09-05
1Hx--oyAcojSfqQYERNkig,good,American,2014-09-30
Ph98HBXWUBA9bf-PtGJniw,good,American,2014-12-14
ssd4Ac6OoABXZIai_N5Odw,good,American,2014-12-28
kAFccaTcFR9va9uigTHCNg,good,American,2015-02-07
lZpv9uSDKgyUxk1VPwyzDg,good,American,2015-02-08
3JCJYpQpNDC6lmA7JFFIbw,good,American,2015-02-14
rEO8KGhyUaSi-QvjEc-qrw,good,American,2015-03-01
QsvkvwBp38EOCvhsmjI6hQ,good,American,2015-03-07
R5YLgCXI7DwR373uqy9AlQ,good,American,2015-03-25
S5oBX7uhY4wYyDjvka4cWg,bad,American,2015-04-18
AkafGBdQ0DjZq6YQd7na0w,good,American,2015-05-14
BhSCNNQ1qtrzEIV4gZD8Vw,good,American,2015-07-09
GYNfjDbSlpdRK2qC8RqatA,good,American,2015-07-13
mufnID67U_yWzgCshRzr1g,good,American,2015-07-16
0KhAbVAxYjeCskIcX2KfWw,good,American,2015-10-12
WzaaorVCmUTQvu4mScunNg,good,American,2015-11-09
iW3KcKqzsU5DLaOPEqiuIA,good,American,2015-11-11
fb_I24J7hvBPvdM3ENQx5A,good,American,2015-11-20
aOHQ9MlorpvL71Y6qC9v2A,good,American,2015-12-15
MI6q0AM8lGf3uplhE5EGtg,good,American,2015-12-22
viApiTs_Zp4Cjm3jjg7HYQ,good,American,2016-01-25
eTDSU7uZ9YktYZ8FzhSbuQ,good,American,2016-01-31
Ei7ootM9QUDHeB1OJIkfIw,bad,American,2016-02-17
WjjCWkbw0bw3ZjrEwmQsLQ,good,American,2016-02-17
Ft4NZwOB9xQJkRwuvsDO-A,bad,American,2016-02-19
9HCfCmd0t5GErgm7He6AeQ,good,American,2016-02-21
jW38xpayJghah5L8i9FOww,good,American,2016-03-24
yB0v8l4NMWJDeaq2h2mgUg,bad,American,2016-03-25
PflrOJmNlZhY4LTxaOGbEw,good,American,2016-04-24
AaXxndU7QoMwU9NptjMhSg,bad,American,2016-06-05
xr3YPIcYkGHZZ1lSnJpDKQ,bad,American,2016-06-11
oM6CtEG2tK-4-nPVpimiFg,good,American,2016-07-16
80YoAmJsI_3FesVaPSZjpA,good,American,2009-06-18
wObdaxA0z-qaU2GzsfCVMQ,good,American,2011-02-06
LwEfyIPU8woMqZsKqrf7NA,good,American,2011-03-14
2MRE7On5kQ2sKxWfYKOi8w,bad,American,2011-05-07
heoc96QXrTbecWVw933qhQ,good,American,2011-08-20
33nygg8QJA9FRRn7YsAWtQ,bad,American,2012-04-04
neBCZl1X_pDl11y7nVYFoQ,bad,American,2012-05-07
jc6LD2wn5YrW3BUcxuX50w,bad,Italian,2011-09-01
PRTVZdLWYmhozxkplGA9qQ,good,Italian,2012-04-01
V1oOVqCOc3RRSUvcrEQgVA,good,Italian,2012-08-26
fTg6Rz2Rs1LLYN_U7TJbcQ,bad,Italian,2013-06-10
YKDw2WGj-MQjz7eRsb5FHg,good,Chinese,2010-06-04
_CtkjL-e6O_lMShkN6HuSA,bad,Chinese,2011-01-12
0kRiaCs6damnnCpjPNOqRw,good,Chinese,2011-11-05
RJgfj-6Uq-lyiPJJcyCVlQ,bad,Chinese,2013-03-29
fTg6Rz2Rs1LLYN_U7TJbcQ,bad,Chinese,2013-06-10
YxSD5yuMozdW1-yXKgkvvg,good,Chinese,2014-05-19
9OZH1Ecw-qUkCW5MS0NefA,good,Chinese,2014-08-04
-g9mbTmnzyFB5WWlQz75Lw,bad,Chinese,2015-06-08
PaSqbrWmgroWfxP7ebEkPw,bad,Chinese,2016-02-20
CiCmxCruMvbXtjQP5FhbLg,good,Breakfast & Brunch,2014-06-20
bbYn77XD_aAeFL-lwV7GBA,good,Breakfast & Brunch,2014-07-29
UxfFAw2-cTpeWvRROF1HEw,good,Breakfast & Brunch,2014-09-02
